elements,sample_idx,time
1,0,0.021504
1,1,0.000003
1,2,0.000002
1,3,0.000002
1,4,0.000002
2,0,0.000002
2,1,0.000002
2,2,0.000002
2,3,0.000004
2,4,0.000002
4,0,0.000002
4,1,0.000002
4,2,0.000003
4,3,0.000002
4,4,0.000002
8,0,0.000003
8,1,0.000002
8,2,0.000002
8,3,0.000002
8,4,0.000002
16,0,0.000005
16,1,0.000003
16,2,0.000003
16,3,0.000003
16,4,0.000003
32,0,0.000003
32,1,0.000003
32,2,0.000003
32,3,0.000003
32,4,0.000003
64,0,0.000006
64,1,0.000003
64,2,0.000003
64,3,0.000003
64,4,0.000003
128,0,0.000003
128,1,0.000003
128,2,0.000003
128,3,0.000003
128,4,0.000003
256,0,0.000004
256,1,0.000004
256,2,0.000004
256,3,0.000004
256,4,0.000004
512,0,0.001940
512,1,0.000006
512,2,0.000005
512,3,0.000005
512,4,0.000005
1024,0,0.000007
1024,1,0.000007
1024,2,0.000007
1024,3,0.000007
1024,4,0.000007
2048,0,0.000010
2048,1,0.000010
2048,2,0.000010
2048,3,0.000010
2048,4,0.000010
4096,0,0.000015
4096,1,0.000013
4096,2,0.000014
4096,3,0.000013
4096,4,0.000014
8192,0,0.000019
8192,1,0.000019
8192,2,0.000018
8192,3,0.000018
8192,4,0.000018
16384,0,0.000279
16384,1,0.000028
16384,2,0.000026
16384,3,0.000027
16384,4,0.000026
32768,0,0.000124
32768,1,0.000043
32768,2,0.000044
32768,3,0.000043
32768,4,0.000042
65536,0,0.000159
65536,1,0.000056
65536,2,0.000056
65536,3,0.000176
65536,4,0.000056
131072,0,0.000195
131072,1,0.000118
131072,2,0.000123
131072,3,0.000117
131072,4,0.000101
262144,0,0.000329
262144,1,0.000231
262144,2,0.000222
262144,3,0.000227
262144,4,0.000228
524288,0,0.000713
524288,1,0.000425
524288,2,0.000366
524288,3,0.000395
524288,4,0.000395
1048576,0,0.001057
1048576,1,0.000735
1048576,2,0.000745
1048576,3,0.000769
1048576,4,0.000783
