matrix_size,block_size,cpu_time,gpu_time_with_memcpy,gpu_time_no_memcpy,speedup_with_memcpy,speedup_no_memcpy
50,32,1.3e-05,0.122618,0.036852,0.000109,0.000362
50,64,1.4e-05,0.08564,0.002159,0.00016,0.006328
50,100,1.4e-05,0.082933,0.001448,0.000172,0.009874
500,32,0.001061,0.080915,0.002371,0.013112,0.447517
500,64,0.001069,0.08559,0.002208,0.012493,0.484257
500,100,0.001052,0.081601,0.001523,0.012892,0.69056
2000,32,0.029644,0.086888,0.004982,0.341179,5.950752
2000,64,0.029694,0.091682,0.004182,0.323881,7.100434
2000,100,0.029637,0.089527,0.004442,0.331037,6.671289
4000,32,0.202165,0.093483,0.008878,2.162594,22.772079
4000,64,0.200557,0.098981,0.008269,2.026226,24.255129
4000,100,0.201664,0.106656,0.015734,1.890782,12.816905
