matrix_size,block_size,cpu_time,gpu_time_with_memcpy,gpu_time_no_memcpy,memcpy_time,speedup_with_memcpy,speedup_no_memcpy,speedup_difference,memcpy_overhead_pct
50,32,1.4e-05,0.127587,0.040982,0.086604,0.000112,0.000349,0.00023700000000000001,67.87838886406922
50,64,1.4e-05,0.082555,0.001324,0.081231,0.000164,0.01021,0.010046000000000001,98.39622070135061
50,100,1.4e-05,0.085771,0.001348,0.084423,0.000161,0.010264,0.010103000000000001,98.42837322638186
500,32,0.001061,0.085468,0.002021,0.083446,0.012416,0.525042,0.512626,97.63420227453551
500,64,0.001056,0.079209,0.001836,0.077373,0.013326,0.574854,0.561528,97.68208158163844
500,100,0.001055,0.083882,0.001627,0.082254,0.012578,0.648379,0.6358010000000001,98.05917836961446
2000,32,0.029821,0.090089,0.003736,0.086353,0.331015,7.981254,7.650239,95.85298982117683
2000,64,0.029731,0.092719,0.006978,0.085741,0.32066,4.260802,3.940142,92.47403444817137
2000,100,0.029844,0.088545,0.0039,0.084645,0.337052,7.652409,7.315357,95.59545993562595
4000,32,0.204005,0.095718,0.011893,0.083825,2.131309,17.152958,15.021649000000002,87.57495977768028
4000,64,0.206772,0.099761,0.009256,0.090506,2.072668,22.340298,20.26763,90.7228275578633
4000,100,0.203815,0.096948,0.008685,0.088263,2.102318,23.468094,21.365776,91.04158930560712
